Seconds lapsed,tank level,tank inflow
0,998,19.820402145385742
10,943,14.527462005615234
20,972,22.972885131835938
30,1011,23.90977668762207
40,1005,19.445621490478516
50,1044,23.912797927856445
60,1024,18.049606323242188
70,1004,18.084604263305664
80,1035,23.156482696533203
90,1042,20.741573333740234
100,1047,20.504947662353516
110,1086,23.986722946166992
120,1062,17.616228103637695
130,1106,24.400510787963867
140,1112,20.662389755249023
150,1086,17.46114730834961
160,1071,18.583072662353516
170,1073,20.21140480041504
180,1080,20.73638343811035
190,1085,20.580312728881836
200,1087,20.248933792114258
210,1077,19.072704315185547
220,1010,13.385628700256348
230,994,18.418779373168945
240,1062,26.85416603088379
250,1116,25.4108829498291
260,1105,18.918237686157227
270,1113,20.869144439697266
280,1108,19.54130744934082
290,1121,21.391273498535156
300,1121,20.030643463134766
310,1127,20.699661254882813
320,1170,24.357892990112305
330,1155,18.54161834716797
340,1126,17.130199432373047
350,1095,16.902442932128906
360,1143,24.846410751342773
370,1130,18.7828311920166
380,1113,18.3360595703125
390,1118,20.518280029296875
400,1158,24.093738555908203
410,1175,21.760149002075195
420,1173,19.8560791015625
430,1189,21.602441787719727
440,1191,20.25694465637207
450,1223,23.29825782775879
460,1269,24.613061904907227
470,1243,17.42051124572754
480,1236,19.306137084960938
490,1227,19.17718505859375
500,1219,19.285694122314453
510,1187,16.80547523498535
520,1198,21.10486602783203
530,1139,14.16118049621582
540,1147,20.814218521118164
550,1143,19.695201873779297
560,1167,22.47768211364746
570,1140,17.355234146118164
580,1166,22.681358337402344
590,1142,17.64844512939453
600,1135,19.36598777770996
610,1196,26.179805755615234
620,1203,20.713754653930664
630,1241,23.86495590209961
640,1251,21.097318649291992
650,1268,21.730167388916016
660,1288,22.081222534179688
670,1297,20.977643966674805
680,1265,16.88663673400879
690,1304,23.999698638916016
700,1364,26.094120025634766
710,1355,19.18646812438965
720,1355,20.025257110595703
730,1364,20.950057983398438
740,1377,21.369152069091797
750,1418,24.165008544921875
760,1439,22.171844482421875
770,1489,25.01131820678711
780,1465,17.61858367919922
790,1418,15.377720832824707
800,1408,19.017953872680664
810,1411,20.367101669311523
820,1424,21.389434814453125
